Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57643-23802,PG,Kris,Kris Dunn,Dunn,22.386273552389707,51,4200,MIA@ATL,ATL,MIA,O,Ankle,,,,PG
57643-9556,SF,Eric,Eric Gordon,Gordon,25.44814724392361,27,4200,LAC@HOU,HOU,LAC,GTD,Groin,,,,SF
57643-145335,PG,Payton,Payton Pritchard,Pritchard,13.759615384615385,52,4200,BOS@BKN,BOS,BKN,,,,,,PG
57643-58576,C,Kevon,Kevon Looney,Looney,13.958333333333334,48,4100,DEN@GS,GS,DEN,,,,,,C
57643-110353,PF,Brandon,Brandon Clarke,Clarke,25.144681889960108,47,4100,MEM@POR,MEM,POR,,,,,,PF
57643-15405,PF,JaMychal,JaMychal Green,Green,17.120000542534722,45,4000,DEN@GS,DEN,GS,,,,,,PF
57643-9873,C,Robin,Robin Lopez,Lopez,16.191378889412714,58,4000,WAS@OKC,WAS,OKC,,,,,,C
57643-23772,PG,Yogi,Yogi Ferrell,Ferrell,21.8000005086263,3,4000,LAC@HOU,LAC,HOU,,,,,,PG
57643-9957,PF,Serge,Serge Ibaka,Ibaka,24.6974362104367,39,4000,LAC@HOU,LAC,HOU,O,Back,,,,PF
57643-110318,PF,Grant,Grant Williams,Williams,11.21,50,4000,BOS@BKN,BOS,BKN,,,,,,PF
57643-110321,SG,Romeo,Romeo Langford,Langford,8.155555725097656,9,4000,BOS@BKN,BOS,BKN,,,,,,SG
57643-23294,SF,Danuel,Danuel House,House,19.02258103893649,31,4000,LAC@HOU,HOU,LAC,GTD,Ankle,,,,SF
57643-110346,PF,Isaiah,Isaiah Roby,Roby,21.004166920979817,48,4000,WAS@OKC,OKC,WAS,,,,,,PF
57643-110351,SG,Cody,Cody Martin,Martin,11.06888902452257,45,4000,CLE@CHA,CHA,CLE,,,,,,SG
57643-110354,PF,Nicolas,Nicolas Claxton,Claxton,19.45199951171875,25,4000,BOS@BKN,BKN,BOS,O,Covid-19,,,,PF
57643-145304,C,Onyeka,Onyeka Okongwu,Okongwu,10.394594759554476,37,4000,MIA@ATL,ATL,MIA,,,,,,C
57643-145314,PF,Precious,Precious Achiuwa,Achiuwa,11.725454989346591,55,4000,MIA@ATL,MIA,ATL,,,,,,PF
57643-145341,SG,Isaac,Isaac Okoro,Okoro,17.26792475862323,53,4000,CLE@CHA,CLE,CHA,,,,,,SG
57643-117779,PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,15.3,40,3900,DEN@GS,GS,DEN,GTD,Concussion,,,,PF
57643-16301,C,Dewayne,Dewayne Dedmon,Dedmon,19.200000762939453,4,3900,MIA@ATL,MIA,ATL,,,,,,C
57643-145334,SG,Desmond,Desmond Bane,Bane,17.27547123747052,53,3900,MEM@POR,MEM,POR,,,,,,SG
57643-18376,SG,Damion,Damion Lee,Lee,14.149122807017545,57,3900,DEN@GS,GS,DEN,O,Covid-19,,,,SG
57643-48598,SF,Semi,Semi Ojeleye,Ojeleye,9.606250127156576,48,3900,BOS@BKN,BOS,BKN,,,,,,SF
57643-15417,SF,Solomon,Solomon Hill,Hill,11.444827375740841,58,3800,MIA@ATL,ATL,MIA,,,,,,SF
57643-66196,SG,PJ,PJ Dozier,Dozier,16.348837209302324,43,3800,DEN@GS,DEN,GS,,,,,,SG
57643-12511,PG,Ish,Ish Smith,Smith,18.023333740234374,30,3800,WAS@OKC,WAS,OKC,,,,,,PG
57643-84717,PG,Anfernee,Anfernee Simons,Simons,13.16,50,3800,MEM@POR,POR,MEM,,,,,,PG
57643-84718,PF,Alize,Alize Johnson,Johnson,12.791666666666666,12,3800,BOS@BKN,BKN,BOS,,,,,,PF
57643-82744,PG,Shaquille,Shaquille Harrison,Harrison,3.175,20,3800,DEN@GS,DEN,GS,,,,,,PG
57643-40262,SG,Sterling,Sterling Brown,Brown,17.682352701822918,51,3800,LAC@HOU,HOU,LAC,GTD,Knee,,,,SG
57643-66968,SF,Derrick,Derrick Jones,Jones,17.784313725490197,51,3800,MEM@POR,POR,MEM,GTD,Hip,,,,SF
57643-12334,SG,Avery,Avery Bradley,Bradley,13.566666920979818,24,3700,LAC@HOU,HOU,LAC,,,,,,SG
57643-115802,SF,Jaylen,Jaylen Hoard,Hoard,13.399999830457899,9,3700,WAS@OKC,OKC,WAS,,,,,,SF
57643-113267,SF,Caleb,Caleb Martin,Martin,12.365116562954215,43,3700,CLE@CHA,CHA,CLE,,,,,,SF
57643-145533,PF,Kenyon,Kenyon Martin,Martin,16.943750381469727,32,3700,LAC@HOU,HOU,LAC,,,,,,PF
57643-16790,PG,Brad,Brad Wanamaker,Wanamaker,12.914000244140626,50,3700,CLE@CHA,CHA,CLE,,,,,,PG
57643-41083,PF,Luke,Luke Kornet,Kornet,8.6772724498402,22,3600,BOS@BKN,BOS,BKN,,,,,,PF
57643-145539,SF,Deni,Deni Avdija,Avdija,15.905556007667824,54,3600,WAS@OKC,WAS,OKC,O,Ankle,,,,SF
57643-15542,SG,Spencer,Spencer Dinwiddie,Dinwiddie,17.6999994913737,3,3600,BOS@BKN,BKN,BOS,O,Knee,,,,SG
57643-58081,PG,Tyus,Tyus Jones,Jones,18.00350791529605,57,3600,MEM@POR,MEM,POR,,,,,,PG
57643-9455,PG,Rajon,Rajon Rondo,Rondo,14.01111094156901,36,3600,LAC@HOU,LAC,HOU,GTD,Wrist,,,,PG
57643-40208,PG,Raul,Raul Neto,Neto,16.890384380634014,52,3600,WAS@OKC,WAS,OKC,,,,,,PG
57643-110883,PF,Dean,Dean Wade,Wade,12.673469387755102,49,3600,CLE@CHA,CLE,CHA,,,,,,PF
57643-145312,PF,Vernon,Vernon Carey,Carey,4.56923088660607,13,3600,CLE@CHA,CHA,CLE,,,,,,PF
57643-111622,SF,Garrison,Garrison Mathews,Mathews,9.971153846153847,52,3500,WAS@OKC,WAS,OKC,,,,,,SF
57643-101387,PG,Gabe,Gabe Vincent,Vincent,8.934146043730944,41,3500,MIA@ATL,MIA,ATL,GTD,Knee,,,,PG
57643-9739,C,JaVale,JaVale McGee,McGee,18.62162162162162,37,3500,DEN@GS,DEN,GS,,,,,,C
