Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57818-15846,SG,Tim,Tim Hardaway,Hardaway,22.8206892342403,58,4100,DAL@SAC,DAL,SAC,,,,,,SG
57818-15947,SG,Reggie,Reggie Bullock,Bullock,18.698148374204283,54,4000,PHO@NY,NY,PHO,,,,,,SG
57818-70826,SG,Furkan,Furkan Korkmaz,Korkmaz,16.370213285405587,47,4000,OKC@PHI,PHI,OKC,GTD,Ankle,,,,SG
57818-23772,PG,Yogi,Yogi Ferrell,Ferrell,21.8000005086263,3,4000,LAC@NO,LAC,NO,,,,,,PG
57818-84701,C,Chimezie,Chimezie Metu,Metu,11.170370596426505,27,4000,DAL@SAC,SAC,DAL,,,,,,C
57818-15583,SG,Seth,Seth Curry,Curry,20.363829267785903,47,4000,OKC@PHI,PHI,OKC,,,,,,SG
57818-9957,PF,Serge,Serge Ibaka,Ibaka,24.6974362104367,39,4000,LAC@NO,LAC,NO,O,Back,,,,PF
57818-110338,SF,De'Andre,De'Andre Hunter,Hunter,28.120001220703124,20,4000,ATL@DET,ATL,DET,O,Knee,,,,SF
57818-15628,SF,Otto,Otto Porter,Porter,20.389286586216517,28,4000,LAL@ORL,ORL,LAL,O,Foot,,,,SF
57818-23823,C,Willie,Willie Cauley-Stein,Cauley-Stein,14.482499694824218,40,4000,DAL@SAC,DAL,SAC,,,,,,C
57818-16178,SF,Maurice,Maurice Harkless,Harkless,11.061538696289062,26,4000,DAL@SAC,SAC,DAL,,,,,,SF
57818-15800,PF,Jae,Jae Crowder,Crowder,21.509090909090908,55,4000,PHO@NY,PHO,NY,GTD,Ankle,,,,PF
57818-58350,SF,Stanley,Stanley Johnson,Johnson,10.51800048828125,50,4000,CLE@TOR,TOR,CLE,,,,,,SF
57818-66061,SG,Dwayne,Dwayne Bacon,Bacon,17.281667073567707,60,3900,LAL@ORL,ORL,LAL,,,,,,SG
57818-117812,SF,Donta,Donta Hall,Hall,15.560000610351562,5,3900,LAL@ORL,ORL,LAL,,,,,,SF
57818-145548,PF,Anthony,Anthony Gill,Gill,5.179999923706054,20,3900,SA@WAS,WAS,SA,,,,,,PF
57818-15592,PG,Austin,Austin Rivers,Rivers,13.654167175292969,24,3900,MEM@DEN,DEN,MEM,,,,,,PG
57818-145304,C,Onyeka,Onyeka Okongwu,Okongwu,10.376923389923878,39,3900,ATL@DET,ATL,DET,,,,,,C
57818-145827,PF,Freddie,Freddie Gillespie,Gillespie,15.662500381469727,8,3900,CLE@TOR,TOR,CLE,,,,,,PF
57818-145348,SG,Immanuel,Immanuel Quickley,Quickley,18.519642421177455,56,3900,PHO@NY,NY,PHO,,,,,,SG
57818-97263,C,Drew,Drew Eubanks,Eubanks,15.121951219512194,41,3900,SA@WAS,SA,WAS,,,,,,C
57818-41082,C,Damian,Damian Jones,Jones,7.696296409324363,27,3800,DAL@SAC,SAC,DAL,,,,,,C
57818-63127,C,Willy,Willy Hernangomez,Hernangomez,17.208333333333332,36,3800,LAC@NO,NO,LAC,,,,,,C
57818-14511,PF,Markieff,Markieff Morris,Morris,15.569230299729567,52,3800,LAL@ORL,LAL,ORL,,,,,,PF
57818-19138,PG,Elfrid,Elfrid Payton,Payton,21.876922607421875,52,3800,PHO@NY,NY,PHO,,,,,,PG
57818-110353,PF,Brandon,Brandon Clarke,Clarke,24.804082130899236,49,3800,MEM@DEN,MEM,DEN,,,,,,PF
57818-11074,SF,Garrett,Garrett Temple,Temple,17.220454822887074,44,3800,CHI@MIA,CHI,MIA,,,,,,SF
57818-15727,SG,Ben,Ben McLemore,McLemore,12.59512254668445,41,3800,LAL@ORL,LAL,ORL,,,,,,SG
57818-145308,SF,Patrick,Patrick Williams,Williams,20.108474990068856,59,3800,CHI@MIA,CHI,MIA,,,,,,SF
57818-24544,SG,Gary,Gary Harris,Harris,17.751851399739582,27,3800,LAL@ORL,ORL,LAL,,,,,,SG
57818-9703,PG,George,George Hill,Hill,19.077777438693577,18,3800,OKC@PHI,PHI,OKC,,,,,,PG
57818-12340,PF,Patrick,Patrick Patterson,Patterson,9.872726902817234,33,3700,LAC@NO,LAC,NO,,,,,,PF
57818-66108,PG,Jamal,Jamal Murray,Murray,35.83958435058594,48,3700,MEM@DEN,DEN,MEM,O,Knee,,,,PG
57818-84689,SF,Josh,Josh Okogie,Okogie,13.987500508626303,48,3700,UTA@MIN,MIN,UTA,,,,,,SF
57818-9939,SG,Patty,Patty Mills,Mills,18.400000435965403,56,3700,SA@WAS,SA,WAS,,,,,,SG
57818-16197,SG,Chasson,Chasson Randle,Randle,10.927585996430496,29,3700,LAL@ORL,ORL,LAL,,,,,,SG
57818-23981,PG,Alex,Alex Caruso,Caruso,16.16,50,3700,LAL@ORL,LAL,ORL,,,,,,PG
57818-80812,PF,Lauri,Lauri Markkanen,Markkanen,23.352499389648436,40,3700,CHI@MIA,CHI,MIA,,,,,,PF
57818-145341,SG,Isaac,Isaac Okoro,Okoro,17.15636319247159,55,3700,CLE@TOR,CLE,TOR,,,,,,SG
57818-24546,SF,Denzel,Denzel Valentine,Valentine,14.79245283018868,53,3700,CHI@MIA,CHI,MIA,,,,,,SF
57818-84699,SG,Hamidou,Hamidou Diallo,Diallo,22.045651643172555,46,3600,ATL@DET,DET,ATL,,,,,,SG
57818-12511,PG,Ish,Ish Smith,Smith,17.984375,32,3600,SA@WAS,WAS,SA,,,,,,PG
